Location	Team	Qty
[3143309812059]	ACS	2.00
[3143305305063]	ACS	1.00
[3143307781067]	eSF	1.00
[3143307781067]	eSB	1.00
[3143307781067]	ACS	3.00
[3143307831331]	ACS	1.00
[3143303180158]	eSF	2.00
[3143303180158]	eSB	3.00
[3143303180158]	ACS	7.00
[3143302219352]	eSB	1.00
[3143302219352]	ACS	1.00
[3143302219085]	eSB	1.00
[3143302219085]	ACS	2.00
[3143302149915]	eSB	1.00
[3143307299079]	ACS	5.00
[3143306065295]	eSB	1.00
[3143307780621]	ACS	1.00
[3143306023282]	eSF	1.00
[3143306023282]	eSB	2.00
[3143306023282]	ACS	1.00
[3143309772227]	eSB	1.00
[3143302150085]	eSB	1.00
[3143302150085]	ACS	4.00
[3143309352511]	eSB	3.00
[3143309352511]	ACS	5.00
[3143309251553]	ACS	4.00
[3143305998220]	eSB	1.00
[3143309690905]	eSB	1.00
[3143307951345]	eSB	1.00
[3143302219077]	ACS	1.00
[3143307809131]	eSB	1.00
[3143304701852]	ACS	6.00
[3143307836619]	eSB	1.00
[3143305212545]	ACS	1.00
[CLU_6411]*	eSB	1.00
