Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3143302219107]	ACS	5.0	4.00	-1.0	0.0	4.0	0.0	0.0
[3143302219352]	eSF	3.0	4.00	1.0	0.0	4.0	0.0	0.3
[3143302219352]	eSB	2.0	4.00	2.0	1.0	5.0	0.7	0.0
[3143302219352]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.5
[3143302219352]	ACS	14.0	17.00	3.0	1.0	18.0	1.0	0.0
[3143303180182]	eSF	4.0	3.00	0.0	0.0	4.0	0.6	0.0
[3143303180182]	eSB	3.0	3.00	0.0	0.0	3.0	0.0	0.4
[3143303180182]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[3143303180182]	ACS	25.0	14.00	-5.0	0.0	20.0	6.3	0.0
[3143302150042]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302150042]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302150042]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143302150042]	ACS	5.0	4.00	-1.0	0.0	4.0	0.0	0.0
[3143302219085]	eSF	2.0	3.00	0.0	0.0	2.0	0.0	1.0
[3143302219085]	eSB	1.0	3.00	0.0	1.0	2.0	0.0	1.0
[3143302219085]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143302219085]	ACS	6.0	12.00	6.0	2.0	14.0	2.0	0.0
[3143309812032]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143309812032]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143309812032]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143309812032]	ACS	5.0	4.00	-1.0	0.0	4.0	0.0	0.0
[3143302149915]	eSF	4.0	5.00	0.0	0.0	4.0	0.0	0.7
[3143302149915]	eSB	4.0	5.00	0.0	1.0	5.0	0.3	0.0
[3143302149915]	eMulti	1.0	1.00	0.0	0.0	1.0	0.5	0.0
[3143302149915]	ACS	19.0	19.00	0.0	0.0	19.0	0.4	0.0
[3143307299079]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.3
[3143307299079]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.3
[3143307299079]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143307299079]	ACS	0.0	5.00	0.0	5.0	5.0	0.0	0.0
[3143302150018]	eSF	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[3143302150018]	eSB	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[3143302150018]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143302150018]	ACS	19.0	12.00	-1.0	0.0	18.0	6.0	0.0
[3143302218984]	eSF	4.0	2.00	-1.0	0.0	3.0	0.9	0.0
[3143302218984]	eSB	3.0	2.00	0.0	0.0	3.0	0.9	0.0
[3143302218984]	eMulti	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3143302218984]	ACS	20.0	8.00	-2.0	0.0	18.0	9.5	0.0
[3143306065295]	eSF	4.0	4.00	0.0	0.0	4.0	0.0	0.0
[3143306065295]	eSB	3.0	4.00	0.0	1.0	4.0	0.0	0.0
[3143306065295]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[3143306065295]	ACS	16.0	16.00	0.0	0.0	16.0	0.0	0.0
[3143302219069]	eSF	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[3143302219069]	eSB	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[3143302219069]	eMulti	1.0	0.00	0.0	0.0	1.0	0.7	0.0
[3143302219069]	ACS	20.0	12.00	-1.0	0.0	19.0	7.0	0.0
[3143306629296]	eSF	1.0	0.00	0.0	0.0	1.0	0.5	0.0
[3143306629296]	eSB	1.0	0.00	0.0	0.0	1.0	0.5	0.0
[3143306629296]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143306629296]	ACS	7.0	2.00	-1.0	0.0	6.0	4.2	0.0
[3143302149923]	eSF	3.0	4.00	1.0	0.0	4.0	0.2	0.0
[3143302149923]	eSB	3.0	4.00	0.0	0.0	3.0	0.0	0.8
[3143302149923]	eMulti	1.0	0.00	0.0	0.0	1.0	0.6	0.0
[3143302149923]	ACS	21.0	15.00	-1.0	0.0	20.0	4.9	0.0
[3143306065341]	eSF	3.0	3.00	0.0	0.0	3.0	0.3	0.0
[3143306065341]	eSB	3.0	3.00	0.0	0.0	3.0	0.3	0.0
[3143306065341]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143306065341]	ACS	18.0	11.00	-1.0	0.0	17.0	6.3	0.0
[3143306329705]	eSF	3.0	2.00	-1.0	0.0	2.0	0.4	0.0
[3143306329705]	eSB	2.0	2.00	0.0	0.0	2.0	0.4	0.0
[3143306329705]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143306329705]	ACS	14.0	6.00	-1.0	0.0	13.0	6.6	0.0
[3143306297943]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3143306297943]	eSB	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3143306297943]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143306297943]	ACS	11.0	8.00	-1.0	0.0	10.0	2.0	0.0
[3143307780621]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	0.8
[3143307780621]	eSB	1.0	2.00	0.0	0.0	1.0	0.0	0.8
[3143307780621]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143307780621]	ACS	7.0	7.00	0.0	1.0	8.0	0.7	0.0
[3143303180166]	eSF	1.0	0.00	0.0	0.0	1.0	0.7	0.0
[3143303180166]	eSB	1.0	0.00	0.0	0.0	1.0	0.7	0.0
[3143303180166]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3143303180166]	ACS	6.0	1.00	-1.0	0.0	5.0	3.9	0.0
[3143302149893]	eSF	3.0	3.00	0.0	0.0	3.0	0.2	0.0
[3143302149893]	eSB	3.0	3.00	0.0	0.0	3.0	0.2	0.0
[3143302149893]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143302149893]	ACS	18.0	11.00	-3.0	0.0	15.0	3.8	0.0
[3143302150026]	eSF	4.0	4.00	0.0	0.0	4.0	0.4	0.0
[3143302150026]	eSB	3.0	4.00	0.0	0.0	3.0	0.0	0.6
[3143302150026]	eMulti	1.0	0.00	0.0	0.0	1.0	0.6	0.0
[3143302150026]	ACS	20.0	14.00	-5.0	0.0	15.0	0.8	0.0
[3143300550108]	eSF	2.0	3.00	0.0	0.0	2.0	0.0	0.6
[3143300550108]	eSB	2.0	3.00	0.0	0.0	2.0	0.0	0.6
[3143300550108]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143300550108]	ACS	11.0	10.00	0.0	0.0	11.0	0.6	0.0
[3143303413578]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.2
[3143303413578]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.2
[3143303413578]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143303413578]	ACS	9.0	5.00	0.0	0.0	9.0	4.3	0.0
[3143306329632]	eSF	4.0	1.00	-1.0	0.0	3.0	1.8	0.0
[3143306329632]	eSB	3.0	1.00	-1.0	0.0	2.0	0.8	0.0
[3143306329632]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143306329632]	ACS	19.0	5.00	-1.0	0.0	18.0	13.0	0.0
[3143305212588]	eSF	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3143305212588]	eSB	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3143305212588]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3143305212588]	ACS	8.0	0.00	0.0	0.0	8.0	7.8	0.0
[3143309812083]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143309812083]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143309812083]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143309812083]	ACS	7.0	4.00	-3.0	0.0	4.0	0.0	0.0
[3143306023282]	eSF	1.0	4.00	1.0	1.0	3.0	0.0	0.9
[3143306023282]	eSB	1.0	4.00	1.0	2.0	4.0	0.1	0.0
[3143306023282]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[3143306023282]	ACS	8.0	16.00	7.0	1.0	16.0	0.4	0.0
[3143302218968]	eSF	4.0	3.00	0.0	0.0	4.0	0.8	0.0
[3143302218968]	eSB	4.0	3.00	0.0	0.0	4.0	0.8	0.0
[3143302218968]	eMulti	1.0	0.00	0.0	0.0	1.0	0.6	0.0
[3143302218968]	ACS	24.0	13.00	-1.0	0.0	23.0	10.1	0.0
[3143309772227]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	-0.0
[3143309772227]	eSB	0.0	1.00	0.0	1.0	1.0	0.0	-0.0
[3143309772227]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143309772227]	ACS	4.0	4.00	1.0	0.0	5.0	1.0	0.0
[3143302203480]	eSF	2.0	1.00	-1.0	0.0	1.0	0.2	0.0
[3143302203480]	eSB	1.0	1.00	0.0	0.0	1.0	0.2	0.0
[3143302203480]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143302203480]	ACS	19.0	3.00	-1.0	0.0	18.0	14.7	0.0
[3143302150085]	eSF	2.0	3.00	1.0	0.0	3.0	0.0	0.0
[3143302150085]	eSB	1.0	3.00	0.0	1.0	2.0	0.0	1.0
[3143302150085]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143302150085]	ACS	5.0	12.00	5.0	4.0	14.0	2.0	0.0
[3143300211826]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.2
[3143300211826]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.2
[3143300211826]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143300211826]	ACS	5.0	5.00	0.0	0.0	5.0	0.2	0.0
[3143302149931]	eSF	3.0	2.00	0.0	0.0	3.0	1.0	0.0
[3143302149931]	eSB	2.0	2.00	0.0	0.0	2.0	0.0	0.0
[3143302149931]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143302149931]	ACS	12.0	8.00	-1.0	0.0	11.0	3.0	0.0
[3143309352511]	eSF	2.0	4.00	1.0	0.0	3.0	0.0	0.5
[3143309352511]	eSB	0.0	4.00	0.0	3.0	3.0	0.0	0.5
[3143309352511]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[3143309352511]	ACS	5.0	14.00	4.0	5.0	14.0	0.0	0.0
[3143309251553]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	0.5
[3143309251553]	eSB	1.0	2.00	0.0	0.0	1.0	0.0	0.5
[3143309251553]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143309251553]	ACS	1.0	6.00	1.0	4.0	6.0	0.0	0.0
[3143305998220]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.4
[3143305998220]	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.4
[3143305998220]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143305998220]	ACS	6.0	5.00	0.0	0.0	6.0	0.5	0.0
[3143309690905]	eSF	2.0	2.00	0.0	0.0	2.0	0.2	0.0
[3143309690905]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	0.8
[3143309690905]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143309690905]	ACS	6.0	7.00	1.0	0.0	7.0	0.0	0.0
[3143307608756]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143307608756]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143307608756]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143307608756]	ACS	5.0	4.00	-1.0	0.0	4.0	0.0	0.0
[3143306409911]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143306409911]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143306409911]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143306409911]	ACS	6.0	4.00	0.0	0.0	6.0	2.0	0.0
[3143307780907]	eSF	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[3143307780907]	eSB	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[3143307780907]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143307780907]	ACS	14.0	12.00	0.0	0.0	14.0	2.0	0.0
[3143309936424]	eSF	2.0	3.00	0.0	0.0	2.0	0.0	0.5
[3143309936424]	eSB	2.0	3.00	0.0	0.0	2.0	0.0	0.5
[3143309936424]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143309936424]	ACS	9.0	10.00	1.0	0.0	10.0	0.0	0.0
[3143309812075]	eSF	1.0	1.00	0.0	0.0	1.0	0.3	0.0
[3143309812075]	eSB	1.0	1.00	0.0	0.0	1.0	0.3	0.0
[3143309812075]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143309812075]	ACS	6.0	3.00	-1.0	0.0	5.0	2.0	0.0
[3143306301304]	eSF	1.0	1.00	0.0	0.0	1.0	0.5	0.0
[3143306301304]	eSB	1.0	1.00	0.0	0.0	1.0	0.5	0.0
[3143306301304]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143306301304]	ACS	4.0	2.00	-2.0	0.0	2.0	0.0	0.0
[3143303688100]	eSF	3.0	2.00	0.0	0.0	3.0	0.6	0.0
[3143303688100]	eSB	2.0	2.00	0.0	0.0	2.0	0.0	0.4
[3143303688100]	eMulti	1.0	0.00	0.0	0.0	1.0	0.7	0.0
[3143303688100]	ACS	14.0	10.00	0.0	0.0	14.0	4.4	0.0
[3143303180115]	eSF	2.0	2.00	0.0	0.0	2.0	0.0	0.0
[3143303180115]	eSB	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3143303180115]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143303180115]	ACS	7.0	8.00	3.0	0.0	10.0	2.0	0.0
[3143305302854]	eSF	2.0	1.00	-1.0	0.0	1.0	0.0	0.0
[3143305302854]	eSB	2.0	1.00	-1.0	0.0	1.0	0.0	0.0
[3143305302854]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143305302854]	ACS	9.0	4.00	0.0	0.0	9.0	5.0	0.0
[3143302219212]	eSF	4.0	2.00	0.0	0.0	4.0	1.9	0.0
[3143302219212]	eSB	3.0	2.00	0.0	0.0	3.0	0.9	0.0
[3143302219212]	eMulti	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3143302219212]	ACS	25.0	8.00	0.0	0.0	25.0	16.6	0.0
[3143302149958]	eSF	3.0	2.00	0.0	0.0	3.0	1.0	0.0
[3143302149958]	eSB	2.0	2.00	0.0	0.0	2.0	0.0	0.0
[3143302149958]	eMulti	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3143302149958]	ACS	14.0	8.00	0.0	0.0	14.0	6.0	0.0
[3143307951345]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.1
[3143307951345]	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.1
[3143307951345]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143307951345]	ACS	5.0	5.00	0.0	0.0	5.0	0.5	0.0
[3143302219077]	eSF	1.0	3.00	1.0	0.0	2.0	0.0	0.5
[3143302219077]	eSB	1.0	3.00	1.0	0.0	2.0	0.0	0.5
[3143302219077]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143302219077]	ACS	6.0	10.00	3.0	1.0	10.0	0.0	0.0
[3143302219344]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302219344]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302219344]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143302219344]	ACS	7.0	4.00	-1.0	0.0	6.0	2.2	0.0
[3143307607660]	eSF	2.0	1.00	0.0	0.0	2.0	1.0	0.0
[3143307607660]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143307607660]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143307607660]	ACS	8.0	4.00	-1.0	0.0	7.0	3.0	0.0
[3143302150069]	eSF	2.0	2.00	0.0	0.0	2.0	0.1	0.0
[3143302150069]	eSB	2.0	2.00	0.0	0.0	2.0	0.1	0.0
[3143302150069]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143302150069]	ACS	10.0	8.00	0.0	0.0	10.0	2.3	0.0
[3143307809131]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	0.6
[3143307809131]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	0.6
[3143307809131]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143307809131]	ACS	9.0	6.00	0.0	0.0	9.0	2.6	0.0
[3143300186252]	eSF	2.0	1.00	0.0	0.0	2.0	1.0	0.0
[3143300186252]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143300186252]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143300186252]	ACS	6.0	4.00	-1.0	0.0	5.0	0.9	0.0
[3143304701852]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	0.5
[3143304701852]	eSB	1.0	2.00	0.0	0.0	1.0	0.0	0.5
[3143304701852]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143304701852]	ACS	0.0	6.00	0.0	6.0	6.0	0.0	0.0
[3143307836619]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	0.8
[3143307836619]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	0.8
[3143307836619]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143307836619]	ACS	5.0	7.00	2.0	0.0	7.0	0.0	0.0
[3143305212545]	eSF	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[3143305212545]	eSB	2.0	3.00	0.0	0.0	2.0	0.0	1.0
[3143305212545]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143305212545]	ACS	9.0	12.00	4.0	1.0	14.0	2.0	0.0
[3143302150077]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302150077]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302150077]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143302150077]	ACS	8.0	4.00	-1.0	0.0	7.0	3.0	0.0
[3143302150034]	eSF	2.0	1.00	-1.0	0.0	1.0	0.0	0.0
[3143302150034]	eSB	2.0	1.00	0.0	0.0	2.0	1.0	0.0
[3143302150034]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143302150034]	ACS	12.0	4.00	0.0	0.0	12.0	8.0	0.0
[3143302219409]	eSF	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3143302219409]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3143302219409]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3143302219409]	ACS	8.0	1.00	0.0	0.0	8.0	7.1	0.0
[3143305212529]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143305212529]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143305212529]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143305212529]	ACS	9.0	4.00	0.0	0.0	9.0	4.9	0.0
[3143302219379]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302219379]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302219379]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143302219379]	ACS	9.0	4.00	-3.0	0.0	6.0	2.0	0.0
[CLU_3233]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_3233]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_3233]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_3233]*	ACS	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[CLU_6117]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[CLU_6117]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[CLU_6117]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_6117]*	ACS	0.0	1.00	1.0	0.0	1.0	0.0	0.4
[CLU_6299]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6299]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6299]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_6299]*	ACS	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[CLU_6301]*	eSF	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[CLU_6301]*	eSB	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_6301]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6301]*	ACS	0.0	4.00	4.0	0.0	4.0	0.1	0.0
[CLU_6398]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[CLU_6398]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[CLU_6398]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_6398]*	ACS	0.0	1.00	1.0	0.0	1.0	0.1	0.0
[CLU_6410]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6410]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6410]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_6410]*	ACS	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[CLU_6411]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_6411]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_6411]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6411]*	ACS	0.0	4.00	4.0	0.0	4.0	0.0	0.0
[CLU_6414]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[CLU_6414]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[CLU_6414]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_6414]*	ACS	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[CLU_6415]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6415]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[CLU_6415]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_6415]*	ACS	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[CLU_6417]*	eSF	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[CLU_6417]*	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[CLU_6417]*	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[CLU_6417]*	ACS	0.0	1.00	1.0	0.0	1.0	0.3	0.0
