Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3143309772235]	eSF	2.0	2.00	0.0	0.0	2.0	0.0	0.0
[3143309772235]	eSB	2.0	2.00	0.0	0.0	2.0	0.0	0.0
[3143309772235]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143309772235]	ACS	10.0	8.00	-2.0	0.0	8.0	0.0	0.0
[3143309772251]	eSF	2.0	1.00	0.0	0.0	2.0	0.7	0.0
[3143309772251]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.3
[3143309772251]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143309772251]	ACS	7.0	5.00	-2.0	0.0	5.0	0.0	0.0
[3143309812059]	eSF	3.0	2.00	0.0	0.0	3.0	0.6	0.0
[3143309812059]	eSB	2.0	2.00	0.0	0.0	2.0	0.0	0.4
[3143309812059]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143309812059]	ACS	9.0	10.00	0.0	2.0	11.0	1.5	0.0
[3143305305063]	eSF	3.0	3.00	0.0	0.0	3.0	0.3	0.0
[3143305305063]	eSB	2.0	3.00	0.0	0.0	2.0	0.0	0.7
[3143305305063]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143305305063]	ACS	12.0	11.00	0.0	1.0	13.0	2.2	0.0
[3143307781067]	eSF	1.0	3.00	0.0	1.0	2.0	0.0	0.7
[3143307781067]	eSB	1.0	3.00	0.0	1.0	2.0	0.0	0.7
[3143307781067]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.3
[3143307781067]	ACS	6.0	11.00	2.0	3.0	11.0	0.3	0.0
[3143309132481]	eSF	1.0	1.00	0.0	0.0	1.0	0.5	0.0
[3143309132481]	eSB	1.0	1.00	0.0	0.0	1.0	0.5	0.0
[3143309132481]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143309132481]	ACS	3.0	2.00	-1.0	0.0	2.0	0.0	0.0
[3143307831331]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	0.8
[3143307831331]	eSB	1.0	2.00	0.0	0.0	1.0	0.0	0.8
[3143307831331]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143307831331]	ACS	6.0	7.00	0.0	1.0	7.0	0.0	0.0
[3143300659134]	eSF	2.0	1.00	0.0	0.0	2.0	0.5	0.0
[3143300659134]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.5
[3143300659134]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143300659134]	ACS	7.0	6.00	-1.0	0.0	6.0	0.1	0.0
[3143303180158]	eSF	1.0	4.00	0.0	2.0	3.0	0.0	1.0
[3143303180158]	eSB	1.0	4.00	0.0	3.0	4.0	0.0	0.0
[3143303180158]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.4
[3143303180158]	ACS	6.0	16.00	4.0	7.0	17.0	1.0	0.0
[3143307821506]	eSF	3.0	2.00	-1.0	0.0	2.0	0.0	0.0
[3143307821506]	eSB	3.0	2.00	-1.0	0.0	2.0	0.0	0.0
[3143307821506]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.2
[3143307821506]	ACS	14.0	8.00	-3.0	0.0	11.0	3.0	0.0
[3143302150107]	eSF	2.0	1.00	0.0	0.0	2.0	1.0	0.0
[3143302150107]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302150107]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3143302150107]	ACS	11.0	4.00	-4.0	0.0	7.0	3.0	0.0
[3143309775978]	eSF	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3143309775978]	eSB	1.0	0.00	-1.0	0.0	0.0	0.0	0.0
[3143309775978]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3143309775978]	ACS	6.0	0.00	-3.0	0.0	3.0	3.0	0.0
[3143302219107]	eSF	2.0	1.00	0.0	0.0	2.0	1.0	0.0
[3143302219107]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[3143302219107]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.1
