SHC[SHC1]		123277	Dist (km)
>	L[CLU_3233]	105	20.00
>	L[CLU_6117]	422	20.00
>	L[CLU_6220]	836	20.00
>	L[CLU_6221]	158	20.00
>	L[CLU_6223]	481	20.00
>	L[CLU_6224]	2080	20.00
>	L[CLU_6227]	2719	20.00
>	L[CLU_6228]	1244	20.00
>	L[CLU_6232]	2830	20.00
>	L[CLU_6235]	2326	20.00
>	L[CLU_6238]	2479	20.00
>	L[CLU_6242]	1540	20.00
>	L[CLU_6245]	447	20.00
>	L[CLU_6246]	460	20.00
>	L[CLU_6250]	420	20.00
>	L[CLU_6253]	574	20.00
>	L[CLU_6255]	2572	20.00
>	L[CLU_6257]	2766	20.00
>	L[CLU_6258]	147	20.00
>	L[CLU_6260]	1705	20.00
>	L[CLU_6261]	138	20.00
>	L[CLU_6263]	923	20.00
>	L[CLU_6264]	216	20.00
>	L[CLU_6265]	389	20.00
>	L[CLU_6267]	347	20.00
>	L[CLU_6268]	1971	20.00
>	L[CLU_6269]	870	20.00
>	L[CLU_6271]	726	20.00
>	L[CLU_6272]	324	20.00
>	L[CLU_6278]	736	20.00
>	L[CLU_6284]	1170	20.00
>	L[CLU_6285]	2867	20.00
>	L[CLU_6288]	391	20.00
>	L[CLU_6294]	455	20.00
>	L[CLU_6296]	101	20.00
>	L[CLU_6297]	533	20.00
>	L[CLU_6298]	2255	20.00
>	L[CLU_6299]	123	20.00
>	L[CLU_6301]	703	20.00
>	L[CLU_6302]	857	20.00
>	L[CLU_6308]	1883	20.00
>	L[CLU_6310]	1720	20.00
>	L[CLU_6311]	1378	20.00
>	L[CLU_6312]	271	20.00
>	L[CLU_6316]	194	20.00
>	L[CLU_6320]	0	20.00
>	L[CLU_6322]	759	20.00
>	L[CLU_6325]	0	20.00
>	L[CLU_6336]	1629	20.00
>	L[CLU_6337]	2555	20.00
>	L[CLU_6340]	581	20.00
>	L[CLU_6341]	934	20.00
>	L[CLU_6345]	2608	20.00
>	L[CLU_6347]	411	20.00
>	L[CLU_6351]	1389	20.00
>	L[CLU_6354]	742	20.00
>	L[CLU_6357]	149	20.00
>	L[CLU_6359]	16	20.00
>	L[CLU_6360]	0	20.00
>	L[CLU_6362]	1724	20.00
>	L[CLU_6363]	165	20.00
>	L[CLU_6367]	718	20.00
>	L[CLU_6368]	1120	20.00
>	L[CLU_6372]	2246	20.00
>	L[CLU_6373]	1169	20.00
>	L[CLU_6374]	0	20.00
>	L[CLU_6375]	2571	20.00
>	L[CLU_6376]	1507	20.00
>	L[CLU_6380]	812	20.00
>	L[CLU_6382]	497	20.00
>	L[CLU_6384]	369	20.00
>	L[CLU_6390]	412	20.00
>	L[CLU_6391]	671	20.00
>	L[CLU_6392]	911	20.00
>	L[CLU_6394]	99	20.00
>	L[CLU_6395]	1395	20.00
>	L[CLU_6396]	0	20.00
>	L[CLU_6401]	1154	20.00
>	L[CLU_6402]	382	20.00
>	L[CLU_6404]	25	20.00
>	L[CLU_6406]	476	20.00
>	L[CLU_6407]	134	20.00
>	L[CLU_6408]	1092	20.00
>	L[CLU_6409]	77	20.00
>	L[CLU_6411]	500	20.00
>	L[CLU_6415]	140	20.00
>	L[CLU_6417]	135	20.00
>	L[3143307821506]	1524	20.00
>	L[3143302219107]	567	20.00
>	L[3143302150042]	69	20.00
>	L[3143302149915]	2590	20.00
>	L[3143302150018]	441	20.00
>	L[3143302218984]	1918	20.00
>	L[3143302219069]	2610	20.00
>	L[3143306629296]	345	20.00
>	L[3143302149923]	375	20.00
>	L[3143306065341]	2266	20.00
>	L[3143306329705]	1212	20.00
>	L[3143303180166]	211	20.00
>	L[3143302150026]	2748	20.00
>	L[3143309812083]	870	20.00
>	L[3143302218968]	2702	20.00
>	L[3143302149931]	308	20.00
>	L[3143307608756]	111	20.00
>	L[3143307780907]	2190	20.00
>	L[3143309812075]	721	20.00
>	L[3143306301304]	277	20.00
>	L[3143303688100]	699	20.00
>	L[3143305302854]	152	20.00
>	L[3143302219212]	404	20.00
>	L[3143302149958]	463	20.00
>	L[3143302219344]	599	20.00
>	L[3143307607660]	662	20.00
>	L[3143302150069]	1628	20.00
>	L[3143302150077]	347	20.00
>	L[3143302150034]	873	20.00
>	L[3143302219409]	174	20.00
>	L[3143302219379]	762	20.00
>	L[THC1]	12328	20.00
