>	L[313760115000026]	271	2.30
>	L[313760115000027]	339	2.61
>	L[313760115000032]	340	3.01
>	L[313760115000033]	248	2.98
>	L[SHC1]	1523	20.00
>	L[THC1]	317	25.00
L[313760105000201]		2867	Dist (km)
>	L[313760105000096]	142	0.88
>	L[313760105000171]	301	0.35
>	L[313760105000198]	262	0.17
>	L[313760105000200]	250	0.40
>	L[313760105000201]	86	0.00
>	L[313760105000202]	293	0.26
>	L[313760105000214]	371	0.58
>	L[313760105000265]	329	1.33
>	L[SHC1]	688	20.00
>	L[THC1]	143	25.00
L[313760105000235]		616	Dist (km)
>	L[313760105000234]	127	0.35
>	L[313760105000235]	310	0.00
>	L[SHC1]	148	20.00
>	L[THC1]	30	25.00
L[313760105000239]		2905	Dist (km)
>	L[313760105000005]	86	0.32
>	L[313760105000071]	294	0.69
>	L[313760105000072]	311	0.57
>	L[313760105000238]	331	1.01
>	L[313760105000239]	443	0.00
>	L[313760105000240]	240	0.78
>	L[313760105000241]	358	0.29
>	L[SHC1]	697	20.00
>	L[THC1]	145	25.00
L[313760105000259]		2999	Dist (km)
>	L[313760105000003]	178	0.57
>	L[313760105000068]	164	0.35
>	L[313760105000188]	359	0.63
>	L[313760105000189]	183	1.04
>	L[313760105000195]	66	1.89
>	L[313760105000196]	131	1.19
>	L[313760105000247]	124	0.39
>	L[313760105000259]	368	0.00
>	L[313760105000276]	409	0.53
>	L[313760105000277]	145	0.79
>	L[SHC1]	720	20.00
>	L[THC1]	150	25.00
L[313760105000264]		309	Dist (km)
>	L[313760105000264]	219	0.00
>	L[SHC1]	74	20.00
>	L[THC1]	15	25.00
L[313760105000270]		2814	Dist (km)
>	L[313760105000088]	261	0.73
>	L[313760105000090]	447	0.47
>	L[313760105000091]	42	0.44
>	L[313760105000144]	66	1.61
>	L[313760105000145]	301	1.50
>	L[313760105000270]	288	0.00
>	L[313760114000002]	105	4.02
>	L[313760114000007]	272	3.59
>	L[313760114000008]	213	3.13
>	L[SHC1]	675	20.00
>	L[THC1]	140	25.00
L[313760105000279]		2706	Dist (km)
>	L[313760105000128]	610	0.52
>	L[313760105000134]	0	0.62
>	L[313760105000236]	244	0.42
>	L[313760105000252]	274	0.49
>	L[313760105000278]	518	0.22
>	L[313760105000279]	273	0.00
>	L[SHC1]	649	20.00
>	L[THC1]	135	25.00
L[313760115000010]		3166	Dist (km)
>	L[313760115000001]	165	1.22
>	L[313760115000002]	92	0.74
>	L[313760115000005]	74	2.89
>	L[313760115000006]	4	2.11
>	L[313760115000008]	354	0.92
>	L[313760115000009]	279	1.78
>	L[313760115000010]	135	0.00
>	L[313760115000011]	356	0.72
>	L[313760115000018]	394	1.69
>	L[313760115000019]	43	2.58
>	L[313760115000031]	352	2.77
>	L[SHC1]	759	20.00
>	L[THC1]	158	25.00
