From	To	Team	Qty	Dist (km)
[313760105000013]	[313760105000102]	eSF	1.00	2.68
[313760105000102]	[313760105000045]*	eSF	1.00	8.03
[313760105000135]	[313760105000045]*	eSF	1.00	1.22
[313760105000139]	[313760115000010]*	eSF	1.00	6.00
[313760105000235]	[313760105000279]*	eSF	1.00	1.58
[313760105000239]	[313760105000270]*	eSF	1.00	2.92
[313760105000264]	[313760105000074]*	eSF	1.00	5.22
[313760105000076]	[313760105000181]*	eSB	1.00	3.98
[313760105000235]	[313760105000279]*	eSB	1.00	1.58
[313760105000239]	[313760105000074]*	eSB	1.00	0.81
[313760105000139]	[313760105000181]*	eMulti	1.00	3.92
[313760105000201]	[313760105000161]*	eMulti	1.00	3.24
[313760105000235]	[313760105000192]*	eMulti	1.00	6.74
[313760105000239]	[313760105000045]*	eMulti	1.00	4.64
