Location	Team	Qty
[313760105000013]	eSF	1.00
[313760105000013]	eSB	1.00
[313760105000040]*	eSB	1.00
[313760105000043]*	eSF	1.00
[313760105000043]*	eSB	3.00
[313760105000125]	eSB	1.00
[313760105000128]*	eSF	1.00
[313760105000132]	eSB	1.00
[313760105000201]	eSF	1.00
[313760105000201]	eSB	1.00
[313760105000259]	eSB	1.00
