From	To	Team	Qty	Dist (km)
[3118602190923]	[3118602190486]	eSF	1.00	0.98
[3118602190893]	[3118602190222]	eSF	1.00	0.81
[3118602190206]	[CLU_3084]*	eSF	1.00	0.85
[3118602190729]	[3118602190656]	eSF	1.00	0.00
[3118602190206]	[3118602190877]	eSB	1.00	0.00
[3118602190605]	[CLU_2961]*	ACS	6.00	1.84
[3118602190397]	[CLU_3055]*	ACS	1.00	2.01
[3118602190729]	[3118602190656]	ACS	4.00	0.00
[3118602190710]	[3118602190818]	ACS	5.00	4.12
[3118602190710]	[CLU_3098]*	ACS	8.00	1.30
[3118602190648]	[3118602190818]	ACS	1.00	4.05
[3118602220245]	[CLU_3200]*	ACS	1.00	0.87
