SHC[SHC1]		213854	Dist (km)
>	L[CLU_3155]	970	20.00
>	L[CLU_3158]	446	20.00
>	L[CLU_3159]	609	20.00
>	L[CLU_3161]	402	20.00
>	L[CLU_3162]	706	20.00
>	L[CLU_3164]	555	20.00
>	L[CLU_3165]	2110	20.00
>	L[CLU_3166]	413	20.00
>	L[CLU_3167]	569	20.00
>	L[CLU_3168]	91	20.00
>	L[CLU_3169]	724	20.00
>	L[CLU_3170]	2321	20.00
>	L[CLU_3171]	611	20.00
>	L[CLU_3172]	592	20.00
>	L[CLU_3173]	141	20.00
>	L[CLU_3174]	617	20.00
>	L[CLU_3176]	612	20.00
>	L[CLU_3177]	59	20.00
>	L[CLU_3179]	1862	20.00
>	L[CLU_3182]	2060	20.00
>	L[CLU_3184]	241	20.00
>	L[CLU_3186]	1397	20.00
>	L[CLU_3187]	158	20.00
>	L[CLU_3188]	2068	20.00
>	L[CLU_3189]	1461	20.00
>	L[CLU_3190]	531	20.00
>	L[CLU_3191]	2027	20.00
>	L[CLU_3192]	266	20.00
>	L[CLU_3193]	596	20.00
>	L[CLU_3194]	630	20.00
>	L[CLU_3199]	93	20.00
>	L[CLU_3201]	372	20.00
>	L[CLU_3202]	2124	20.00
>	L[CLU_3203]	1216	20.00
>	L[CLU_3204]	1097	20.00
>	L[CLU_3207]	226	20.00
>	L[CLU_3208]	1570	20.00
>	L[CLU_3213]	1221	20.00
>	L[CLU_3214]	609	20.00
>	L[CLU_3215]	1381	20.00
>	L[CLU_3216]	1523	20.00
>	L[CLU_3711]	94	20.00
>	L[CLU_3731]	139	20.00
>	L[CLU_3732]	94	20.00
>	L[CLU_4344]	104	20.00
>	L[CLU_7797]	168	20.00
>	L[CLU_7876]	232	20.00
>	L[CLU_7904]	102	20.00
>	L[CLU_7923]	520	20.00
>	L[CLU_948]	70	20.00
>	L[CLU_952]	133	20.00
>	L[CLU_956]	853	20.00
>	L[3118602190605]	1500	20.00
>	L[3118602190109]	1412	20.00
>	L[3118602190931]	3000	20.00
>	L[3118602190923]	3750	20.00
>	L[3118602190389]	1500	20.00
>	L[3118607110316]	3750	20.00
>	L[3118602190451]	1500	20.00
>	L[3118602190206]	1500	20.00
>	L[3118602190524]	921	20.00
>	L[3118602190400]	1500	20.00
>	L[3118602190966]	1500	20.00
>	L[3118602190877]	1500	20.00
>	L[3118602190826]	2115	20.00
>	L[3118602190656]	1500	20.00
>	L[3118602190834]	1500	20.00
>	L[3118602190710]	1098	20.00
>	L[3118602190796]	1383	20.00
>	L[3118602190648]	1356	20.00
>	L[3118602190818]	2231	20.00
>	L[CLU_3060]	3750	20.00
>	L[CLU_3098]	750	20.00
>	L[CLU_7923]	3750	20.00
>	L[THC1]	21385	20.00
