Location	Team	Qty
[3143305305063]	eSB	1.00
[3143307781067]	eSF	1.00
[3143307781067]	eSB	2.00
[3143307781067]	ACS	3.00
[3143303180158]	eSF	2.00
[3143303180158]	eSB	3.00
[3143303180158]	ACS	5.00
[3143302219352]	eSB	1.00
[3143302219085]	eSB	2.00
[3143307299079]	ACS	4.00
[3143306297943]	eSB	1.00
[3143306023282]	eSF	2.00
[3143306023282]	eSB	2.00
[3143309772227]	eSB	2.00
[3143302150085]	eSB	1.00
[3143302150085]	ACS	2.00
[3143309352511]	eSB	4.00
[3143309352511]	ACS	6.00
[3143309251553]	ACS	5.00
[3143305998220]	eSB	2.00
[3143309690905]	eSB	2.00
[3143303180115]	eSB	1.00
[3143307951345]	eSB	1.00
[3143302219077]	eSF	1.00
[3143302219077]	eSB	1.00
[3143307809131]	eSB	2.00
[3143304701852]	ACS	7.00
[3143307836619]	eSB	2.00
