ID,Origin_LONG,Origin_LAT,Destination_LONG,Destination_LAT,DIST,DUR,,,,,,
76,-43.887816,-19.628894,-43.905692,-19.642052,0,0,,,,,0,0
77,-43.887816,-19.628894,-43.903487,-19.64332,0,0,,,,,0,0
78,-43.887816,-19.628894,-43.893801,-19.630253,0,0,,,,,0,0
79,-43.887816,-19.628894,-43.895888,-19.633426,0,0,,,,,0,0
80,-43.887816,-19.628894,-43.909745,-19.631956,0,0,,,,,0,0
81,-43.887816,-19.628894,-43.919088,-19.634054,0,0,,,,,0,0
82,-43.887816,-19.628894,-43.900854,-19.627733,0,0,,,,,0,0
83,-43.887816,-19.628894,-43.902047,-19.620749,0,0,,,,,0,0
84,-43.887816,-19.628894,-43.909035,-19.625593,0,0,,,,,0,0
85,-43.887816,-19.628894,-43.90726,-19.609734,0,0,,,,,0,0
86,-43.887816,-19.628894,-43.907581,-19.607453,0,0,,,,,0,0
87,-43.887816,-19.628894,-43.910681,-19.597121,0,0,,,,,0,0
88,-43.887816,-19.628894,-43.908365,-19.59731,0,0,,,,,0,0
89,-43.887816,-19.628894,-43.904545,-19.599376,0,0,,,,,0,0
90,-43.887816,-19.628894,-43.905956,-19.602944,0,0,,,,,0,0
91,-43.887816,-19.628894,-43.90425,-19.607577,0,0,,,,,0,0
92,-43.887816,-19.628894,-43.8562,-19.653379,0,0,,,,,0,0
93,-43.887816,-19.628894,-43.855257,-19.664662,0,0,,,,,0,0
94,-43.887816,-19.628894,-43.835004,-19.613325,0,0,,,,,0,0
95,-43.887816,-19.628894,-43.931548,-19.633201,0,0,,,,,0,0
96,-43.887816,-19.628894,-43.902263,-19.589971,0,0,,,,,0,0
97,-43.887816,-19.628894,-43.904758,-19.587131,0,0,,,,,0,0
98,-43.887816,-19.628894,-43.900299,-19.568602,0,0,,,,,0,0
99,-43.887816,-19.628894,-43.91316,-19.648971,0,0,,,,,0,0
100,-43.887816,-19.628894,-43.906578,-19.593924,0,0,,,,,0,0
101,-43.887816,-19.628894,-43.906902,-19.593681,0,0,,,,,0,0
102,-43.887816,-19.628894,-43.905009,-19.592915,0,0,,,,,0,0
103,-43.887816,-19.628894,-43.900847,-19.644364,0,0,,,,,0,0
104,-43.887816,-19.628894,-43.914656,-19.65363,0,0,,,,,0,0
105,-43.887816,-19.628894,-43.910848,-19.654249,0,0,,,,,0,0
106,-43.887816,-19.628894,-43.897169,-19.630133,0,0,,,,,0,0
107,-43.887816,-19.628894,-43.899606,-19.631696,0,0,,,,,0,0
108,-43.887816,-19.628894,-43.893764,-19.670226,0,0,,,,,0,0
109,-43.887816,-19.628894,-43.890554,-19.669517,0,0,,,,,0,0
110,-43.887816,-19.628894,-43.939093,-19.629064,0,0,,,,,0,0
111,-43.887816,-19.628894,-43.919074,-19.648968,0,0,,,,,0,0
112,-43.887816,-19.628894,-43.940653,-19.655266,0,0,,,,,0,0
113,-43.887816,-19.628894,-43.900183,-19.629116,0,0,,,,,0,0
114,-43.887816,-19.628894,-43.897816,-19.628832,0,0,,,,,0,0
115,-43.887816,-19.628894,-43.916045,-19.633432,0,0,,,,,0,0
116,-43.887816,-19.628894,-43.916412,-19.633451,0,0,,,,,0,0
117,-43.887816,-19.628894,-43.913106,-19.628393,0,0,,,,,0,0
118,-43.887816,-19.628894,-43.914878,-19.629806,0,0,,,,,0,0
119,-43.887816,-19.628894,-43.912023,-19.592381,0,0,,,,,0,0
120,-43.887816,-19.628894,-43.911289,-19.592478,0,0,,,,,0,0
121,-43.887816,-19.628894,-43.906783,-19.590823,0,0,,,,,0,0
122,-43.887816,-19.628894,-43.90548,-19.589524,0,0,,,,,0,0
123,-43.887816,-19.628894,-43.907086,-19.598337,0,0,,,,,0,0
124,-43.887816,-19.628894,-43.906269,-19.600281,0,0,,,,,0,0
125,-43.887816,-19.628894,-43.897551,-19.620988,0,0,,,,,0,0
126,-43.887816,-19.628894,-43.900884,-19.618184,0,0,,,,,0,0
127,-43.887816,-19.628894,-43.90096,-19.587181,0,0,,,,,0,0
128,-43.887816,-19.628894,-43.901366,-19.587546,0,0,,,,,0,0
129,-43.887816,-19.628894,-43.897691,-19.584611,0,0,,,,,0,0
130,-43.887816,-19.628894,-43.902877,-19.588517,0,0,,,,,0,0
131,-43.887816,-19.628894,-43.901586,-19.589772,0,0,,,,,0,0
132,-43.887816,-19.628894,-43.889328,-19.608436,0,0,,,,,0,0
133,-43.887816,-19.628894,-43.889319,-19.613646,0,0,,,,,0,0
134,-43.887816,-19.628894,-43.889659,-19.665607,0,0,,,,,0,0
135,-43.887816,-19.628894,-43.886188,-19.665707,0,0,,,,,0,0
136,-43.887816,-19.628894,-43.887535,-19.663615,0,0,,,,,0,0
137,-43.887816,-19.628894,-43.888583,-19.666894,0,0,,,,,0,0
138,-43.887816,-19.628894,-43.888844,-19.668833,0,0,,,,,0,0
139,-43.887816,-19.628894,-43.903767,-19.648578,0,0,,,,,0,0
140,-43.887816,-19.628894,-43.904599,-19.649988,0,0,,,,,0,0
141,-43.887816,-19.628894,-43.916107,-19.650046,0,0,,,,,0,0
142,-43.887816,-19.628894,-43.916302,-19.646834,0,0,,,,,0,0
143,-43.887816,-19.628894,-43.9159,-19.637532,0,0,,,,,0,0
144,-43.887816,-19.628894,-43.91389,-19.637783,0,0,,,,,0,0
145,-43.887816,-19.628894,-43.907854,-19.592234,0,0,,,,,0,0
146,-43.887816,-19.628894,-43.910601,-19.59007,0,0,,,,,0,0
147,-43.887816,-19.628894,-43.887176,-19.637988,0,0,,,,,0,0
148,-43.887816,-19.628894,-43.88679,-19.640771,0,0,,,,,0,0
149,-43.887816,-19.628894,-43.884394,-19.666874,0,0,,,,,0,0
150,-43.887816,-19.628894,-43.884336,-19.663536,0,0,,,,,0,0
151,-43.887816,-19.628894,-43.918654,-19.665134,0,0,,,,,0,0
152,-43.887816,-19.628894,-43.91609,-19.655881,0,0,,,,,0,0
153,-43.887816,-19.628894,-43.916603,-19.634788,0,0,,,,,0,0
154,-43.887816,-19.628894,-43.913155,-19.634636,0,0,,,,,0,0
155,-43.887816,-19.628894,-43.899963,-19.613998,0,0,,,,,0,0
156,-43.887816,-19.628894,-43.899687,-19.606162,0,0,,,,,0,0
157,-43.887816,-19.628894,-43.896424,-19.611028,0,0,,,,,0,0
158,-43.887816,-19.628894,-43.896972,-19.593068,0,0,,,,,0,0
159,-43.887816,-19.628894,-43.900061,-19.595444,0,0,,,,,0,0
160,-43.887816,-19.628894,-43.894138,-19.598335,0,0,,,,,0,0
161,-43.887816,-19.628894,-43.893811,-19.604682,0,0,,,,,0,0
162,-43.887816,-19.628894,-43.897331,-19.603655,0,0,,,,,0,0
163,-43.887816,-19.628894,-43.901021,-19.601781,0,0,,,,,0,0
164,-43.887816,-19.628894,-43.900053,-19.599668,0,0,,,,,0,0
165,-43.887816,-19.628894,-43.89626,-19.60104,0,0,,,,,0,0
166,-43.887816,-19.628894,-43.93517,-19.661016,0,0,,,,,0,0
167,-43.887816,-19.628894,-43.937106,-19.660192,0,0,,,,,0,0
168,-43.887816,-19.628894,-43.919783,-19.621652,0,0,,,,,0,0
169,-43.887816,-19.628894,-43.921477,-19.608382,0,0,,,,,0,0
170,-43.887816,-19.628894,-43.909054,-19.642838,0,0,,,,,0,0
171,-43.887816,-19.628894,-43.912199,-19.64297,0,0,,,,,0,0
172,-43.887816,-19.628894,-43.903093,-19.632624,0,0,,,,,0,0
173,-43.887816,-19.628894,-43.905684,-19.632341,0,0,,,,,0,0
174,-43.887816,-19.628894,-43.870231,-19.637962,0,0,,,,,0,0
175,-43.887816,-19.628894,-43.8796,-19.636101,0,0,,,,,0,0
176,-43.887816,-19.628894,-43.873138,-19.631576,0,0,,,,,0,0
