Region	Pop	Flow
	L[313760105000271]*	0
	L[SHC1]	3
	L[SHC1]*	0
M[313760114000010]	9
	L[313760105000271]	6
	L[313760105000271]*	0
	L[SHC1]	1
	L[SHC1]*	0
	L[THC1]	0
	L[THC1]*	0
M[313760115000001]	165
	L[313760115000019]	157
	L[313760115000019]*	7
M[313760115000002]	92
	L[313760115000019]	87
	L[313760115000019]*	4
M[313760115000003]	412
	L[313760115000014]	392
	L[313760115000014]*	19
M[313760115000005]	74
	L[313760115000019]	70
	L[313760115000019]*	3
M[313760115000006]	4
	L[313760115000019]	3
	L[313760115000019]*	0
M[313760115000007]	51
	L[313760115000019]	48
	L[313760115000019]*	2
M[313760115000008]	354
	L[313760115000019]	337
	L[313760115000019]*	16
M[313760115000009]	279
	L[313760115000019]	265
	L[313760115000019]*	13
M[313760115000010]	135
	L[313760115000019]	128
	L[313760115000019]*	6
M[313760115000011]	356
	L[313760115000019]	339
	L[313760115000019]*	16
M[313760115000014]	182
	L[313760115000014]	182
M[313760115000015]	8
	L[313760105000139]	7
	L[313760105000139]*	0
M[313760115000018]	394
	L[313760115000019]	375
	L[313760115000019]*	18
M[313760115000019]	43
	L[313760115000019]	43
M[313760115000020]	925
	L[313760115000014]	880
	L[313760115000014]*	44
M[313760115000021]	163
	L[313760115000014]	155
	L[313760115000014]*	7
M[313760115000022]	243
	L[313760115000014]	231
	L[313760115000014]*	11
M[313760115000023]	54
	L[313760115000014]	51
	L[313760115000014]*	2
M[313760115000024]	303
	L[313760115000014]	288
	L[313760115000014]*	14
M[313760115000025]	334
	L[313760115000014]	318
	L[313760115000014]*	15
M[313760115000026]	271
	L[313760115000014]	258
	L[313760115000014]*	12
M[313760115000027]	339
	L[313760115000019]	322
	L[313760115000019]*	16
M[313760115000029]	122
	L[313760115000019]	116
	L[313760115000019]*	5
M[313760115000030]	73
	L[313760115000014]	69
	L[313760115000014]*	3
M[313760115000031]	352
	L[313760115000019]	335
	L[313760115000019]*	16
M[313760115000032]	340
	L[313760115000019]	323
	L[313760115000019]*	16
M[313760115000033]	248
	L[313760115000019]	236
	L[313760115000019]*	11
M[313760115000034]	231
	L[313760115000014]	220
	L[313760115000014]*	11
* Teleconsulta


PHC     > Reg + SHC + THC (dest. flow)
L[313760105000002]	470	(470 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000185]	176
	L[313760105000234]	176
	L[SHC1]	94
	L[THC1]	23
L[313760105000013]	2720	(2720 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000002]	253
	L[313760105000045]	255
	L[313760105000114]	11
	L[313760105000134]	253
	L[313760105000147]	266
	L[313760105000150]	414
	L[313760105000213]	321
	L[313760105000256]	133
	L[313760114000002]	133
	L[SHC1]	544
	L[THC1]	136
L[313760105000076]	2883	(2883 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000135]	339
	L[313760105000167]	333
	L[313760105000211]	240
	L[313760105000240]	240
	L[313760105000283]	478
	L[313760115000022]	193
	L[313760115000032]	339
	L[SHC1]	576
	L[THC1]	144
L[313760105000080]	2777	(2602 + 0 + 175) (Orig: Reg + SHC + THC)
	L[313760105000037]	418
	L[313760105000099]	467
	L[313760105000126]	178
	L[313760105000178]	281
	L[313760105000216]	178
	L[313760105000218]	561
	L[SHC1]	555
	L[THC1]	138
L[313760105000102]	2551	(2551 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000003]	332
	L[313760105000013]	0
	L[313760105000020]	152
	L[313760105000122]	56
	L[313760105000129]	56
	L[313760105000136]	302
	L[313760105000255]	302
	L[313760105000262]	356
	L[313760115000011]	356
	L[SHC1]	510
	L[THC1]	127
L[313760105000122]	2824	(2798 + 26 + 0) (Orig: Reg + SHC + THC)
	L[313760105000069]	106
	L[313760105000075]	174
	L[313760105000083]	373
	L[313760105000166]	385
	L[313760105000180]	373
	L[313760105000237]	411
	L[313760105000246]	174
	L[313760115000029]	122
	L[SHC1]	564
	L[THC1]	141
L[313760105000125]	2985	(2985 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000005]	502
	L[313760105000069]	7
	L[313760105000109]	397
	L[313760105000133]	493
	L[313760105000226]	399
	L[313760105000227]	41
	L[313760105000268]	399
	L[SHC1]	597
	L[THC1]	149
L[313760105000132]	2779	(2779 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000011]	209
	L[313760105000124]	206
	L[313760105000127]	74
	L[313760105000220]	287
	L[313760105000254]	206
	L[313760105000266]	209
	L[313760115000020]	892
	L[SHC1]	555
	L[THC1]	138
L[313760105000135]	2722	(2182 + 540 + 0) (Orig: Reg + SHC + THC)
	L[313760105000027]	99
	L[313760105000085]	144
	L[313760105000147]	39
	L[313760105000209]	619
	L[313760105000223]	5
	L[313760105000233]	121
	L[313760105000239]	5
	L[313760105000278]	615
	L[313760115000014]	144
	L[313760115000033]	248
	L[SHC1]	544
	L[THC1]	136
L[313760105000139]	2677	(2677 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000039]	526
	L[313760105000122]	304
	L[313760105000129]	304
	L[313760105000184]	404
	L[313760105000231]	120
	L[313760105000252]	348
	L[SHC1]	535
	L[THC1]	133
L[313760105000150]	5780	(5622 + 111 + 46) (Orig: Reg + SHC + THC)
	L[313760105000013]	334
	L[313760105000016]	139
	L[313760105000020]	227
	L[313760105000022]	245
	L[313760105000026]	347
	L[313760105000092]	58
	L[313760105000103]	292
	L[313760105000108]	73
	L[313760105000112]	86
	L[313760105000118]	292
	L[313760105000142]	226
	L[313760105000219]	562
	L[313760105000222]	164
	L[313760105000236]	309
	L[313760105000245]	111
	L[313760105000265]	329
	L[313760105000282]	329
	L[313760115000005]	74
	L[313760115000010]	135
	L[SHC1]	1156
	L[THC1]	289
L[313760105000168]	2999	(1649 + 1350 + 0) (Orig: Reg + SHC + THC)
	L[313760105000072]	311
	L[313760105000135]	0
	L[313760105000141]	28
	L[313760105000146]	68
	L[313760105000189]	218
	L[313760105000204]	311
	L[313760105000258]	303
	L[313760115000008]	354
	L[313760115000024]	303
	L[313760115000031]	352
	L[313760115000032]	0
	L[SHC1]	600
	L[THC1]	150
L[313760105000178]	2571	(2571 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000141]	171
	L[313760105000176]	266
	L[313760105000203]	369
	L[313760105000217]	369
	L[313760105000251]	165
	L[313760105000259]	423
	L[313760115000001]	165
	L[SHC1]	514
	L[THC1]	128
L[313760105000186]	2981	(2807 + 0 + 174) (Orig: Reg + SHC + THC)
	L[313760105000102]	1106
	L[313760105000182]	73
	L[313760105000208]	405
	L[313760105000225]	217
	L[313760105000230]	90
	L[313760114000007]	345
	L[SHC1]	596
	L[THC1]	149
L[313760105000201]	2905	(2905 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000011]	95
	L[313760105000013]	285
	L[313760105000039]	174
	L[313760105000229]	578
	L[313760105000235]	314
	L[313760105000243]	366
	L[313760105000266]	95
	L[313760114000008]	270
	L[SHC1]	581
	L[THC1]	145
L[313760105000235]	2814	(2814 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000036]	251
	L[313760105000081]	184
	L[313760105000091]	339
	L[313760105000176]	49
	L[313760105000186]	252
	L[313760105000196]	131
	L[313760105000257]	184
	L[313760105000272]	381
	L[313760115000027]	339
	L[SHC1]	562
	L[THC1]	140
L[313760105000239]	3019	(3019 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000009]	426
	L[313760105000066]	217
	L[313760105000078]	238
	L[313760105000084]	151
	L[313760105000132]	336
	L[313760105000151]	290
	L[313760105000175]	238
	L[313760105000241]	217
	L[313760105000281]	151
	L[SHC1]	603
	L[THC1]	150
L[313760105000253]	2709	(2709 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000030]	231
	L[313760105000040]	12
	L[313760105000064]	12
	L[313760105000076]	104
	L[313760105000086]	12
	L[313760105000087]	104
	L[313760105000097]	104
	L[313760105000173]	187
	L[313760105000179]	231
	L[313760105000207]	12
	L[313760105000224]	104
	L[313760105000270]	343
	L[313760105000274]	341
	L[313760115000034]	231
	L[SHC1]	541
	L[THC1]	135
L[313760105000255]	5353	(5353 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000021]	280
	L[313760105000040]	182
	L[313760105000064]	182
	L[313760105000076]	74
	L[313760105000086]	182
	L[313760105000087]	74
	L[313760105000088]	331
	L[313760105000097]	74
	L[313760105000174]	153
	L[313760105000207]	182
	L[313760105000214]	371
	L[313760105000224]	74
	L[313760105000238]	331
	L[313760105000261]	271
	L[313760105000276]	486
	L[313760105000278]	40
	L[313760105000280]	331
	L[313760115000007]	51
	L[313760115000026]	271
	L[313760115000030]	73
	L[SHC1]	1070
	L[THC1]	267
L[313760105000259]	3000	(3000 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000074]	350
	L[313760105000187]	350
	L[313760105000193]	438
	L[313760105000199]	413
	L[313760105000202]	372
	L[313760105000242]	282
	L[313760115000021]	43
	L[SHC1]	600
	L[THC1]	150
L[313760105000264]	2935	(723 + 2081 + 130) (Orig: Reg + SHC + THC)
	L[313760105000027]	482
	L[313760105000089]	219
	L[313760105000190]	293
	L[313760105000198]	262
	L[313760105000200]	250
	L[313760105000201]	293
	L[313760105000273]	402
	L[SHC1]	587
	L[THC1]	146
L[313760105000271]	2834	(2834 + 0 + 0) (Orig: Reg + SHC + THC)
	L[313760105000010]	294
	L[313760105000067]	24
	L[313760105000071]	294
	L[313760105000098]	24
	L[313760105000125]	124
	L[313760105000152]	124
	L[313760105000163]	322
	L[313760105000183]	614
	L[313760105000235]	78
	L[313760105000260]	227
	L[SHC1]	566
	L[THC1]	141
L[313760105000285]	2901	(2887 + 0 + 14) (Orig: Reg + SHC + THC)
	L[313760105000066]	140
	L[313760105000095]	295
	L[313760105000101]	37
	L[313760105000103]	8
	L[313760105000118]	8
	L[313760105000140]	527
	L[313760105000170]	417
	L[313760105000178]	79
	L[313760105000191]	10
	L[313760105000228]	288
	L[313760105000241]	140
	L[313760105000285]	181
	L[313760115000019]	43
	L[SHC1]	580
	L[THC1]	145
L[313760115000014]	3455	(3363 + 0 + 92) (Orig: Reg + SHC + THC)
	L[313760105000080]	263
	L[313760105000085]	37
	L[313760105000164]	490
	L[313760105000169]	241
	L[313760105000177]	320
	L[313760105000195]	79
	L[313760105000248]	320
	L[313760105000267]	264
	L[313760105000277]	145
	L[313760115000014]	37
	L[313760115000018]	394
	L[SHC1]	691
	L[THC1]	172
L[313760115000019]	3478	(3348 + 130 + 0) (Orig: Reg + SHC + THC)
	L[313760105000040]	195
	L[313760105000043]	448
	L[313760105000045]	145
	L[313760105000048]	36
	L[313760105000064]	195
	L[313760105000077]	314
	L[313760105000086]	195
	L[313760105000165]	265
	L[313760105000191]	349
	L[313760105000194]	8
	L[313760105000207]	195
	L[313760105000215]	189
	L[313760114000009]	23
	L[313760114000010]	9
	L[313760115000015]	8
	L[313760115000020]	32
	L[SHC1]	695
	L[THC1]	173


SHC     > Reg + PHC + THC (dest. flow)
L[SHC1]	19952	(4291 + 15026 + 634) (Orig: Reg + PHC + THC)
	L[313760105000008]	505
	L[313760105000012]	543
	L[313760105000015]	607
	L[313760105000028]	317
	L[313760105000029]	191
	L[313760105000050]	3
	L[313760105000082]	176
	L[313760105000090]	533
	L[313760105000094]	505
	L[313760105000105]	585
	L[313760105000106]	773
	L[313760105000110]	359
	L[313760105000120]	330
	L[313760105000127]	350
	L[313760105000128]	773
	L[313760105000138]	554
	L[313760105000139]	324
	L[313760105000161]	452
	L[313760105000182]	433
	L[313760105000185]	211
	L[313760105000188]	359
	L[313760105000221]	2
	L[313760105000223]	437
	L[313760105000227]	504
	L[313760105000232]	326
	L[313760105000234]	211
	L[313760105000239]	437
	L[313760105000247]	148
	L[313760105000253]	330
	L[313760105000263]	3
	L[313760105000264]	324
	L[313760105000269]	424
	L[313760105000271]	326
	L[313760105000275]	344
	L[313760105000279]	346
	L[313760115000006]	4
	L[313760115000009]	279
	L[313760115000022]	49
	L[313760115000025]	334
	L[313760105000122]	26
	L[313760105000135]	540
	L[313760105000150]	111
	L[313760105000168]	1350
	L[313760105000264]	2081
	L[313760115000019]	130
	L[THC1]	1995


THC     > Reg + PHC + SHC (dest. flow)
L[THC1]	6346	(594 + 3756 + 1995) (Orig: Reg + PHC + SHC)
	L[313760105000007]	312
	L[313760105000024]	94
	L[313760105000058]	177
	L[313760105000067]	168
	L[313760105000068]	195
	L[313760105000074]	77
	L[313760105000096]	180
	L[313760105000098]	168
	L[313760105000108]	92
	L[313760105000122]	16
	L[313760105000123]	99
	L[313760105000129]	16
	L[313760105000144]	84
	L[313760105000145]	382
	L[313760105000150]	130
	L[313760105000162]	327
	L[313760105000168]	312
	L[313760105000171]	382
	L[313760105000172]	123
	L[313760105000187]	77
	L[313760105000192]	92
	L[313760105000205]	142
	L[313760105000206]	109
	L[313760105000210]	48
	L[313760105000212]	154
	L[313760105000249]	177
	L[313760105000250]	152
	L[313760105000272]	45
	L[313760105000284]	64
	L[313760115000002]	92
	L[313760115000003]	412
	L[313760115000021]	119
	L[313760115000023]	54
	L[313760105000080]	175
	L[313760105000150]	46
	L[313760105000186]	174
	L[313760105000264]	130
	L[313760105000285]	14
	L[313760115000014]	92
	L[SHC1]	634
