Region	Pop	Flow
	L[313760105000259]	263
	L[313760105000259]*	13
	L[SHC1]	49
	L[SHC1]*	2
	L[THC1]	3
	L[THC1]*	0
M[313760105000004]	0
M[313760105000005]	502
	L[313760105000239]	478
	L[313760105000239]*	23
M[313760105000007]	312
	L[313760105000239]	297
	L[313760105000239]*	14
M[313760105000008]	505
	L[313760105000239]	480
	L[313760105000239]*	24
M[313760105000009]	426
	L[313760105000080]	405
	L[313760105000080]*	20
M[313760105000010]	294
	L[313760105000080]	280
	L[313760105000080]*	14
M[313760105000011]	305
	L[313760105000013]	290
	L[313760105000013]*	14
M[313760105000012]	543
	L[313760105000013]	493
	L[313760105000013]*	24
	L[SHC1]	23
	L[SHC1]*	1
M[313760105000013]	620
	L[313760105000013]	620
M[313760105000015]	607
	L[313760105000076]	521
	L[313760105000076]*	26
	L[SHC1]	56
	L[SHC1]*	2
M[313760105000016]	139
	L[313760105000271]	104
	L[313760105000271]*	5
	L[SHC1]	20
	L[SHC1]*	1
	L[THC1]	6
	L[THC1]*	0
M[313760105000020]	380
	L[313760105000125]	285
	L[313760105000125]*	14
	L[SHC1]	57
	L[SHC1]*	2
	L[THC1]	19
	L[THC1]*	0
M[313760105000021]	280
	L[313760105000125]	224
	L[313760105000125]*	11
	L[SHC1]	42
	L[SHC1]*	2
M[313760105000022]	245
	L[313760105000125]	184
	L[313760105000125]*	9
	L[SHC1]	36
	L[SHC1]*	1
	L[THC1]	12
	L[THC1]*	0
M[313760105000024]	94
	L[313760105000285]	89
	L[313760105000285]*	4
M[313760105000026]	347
	L[313760105000235]	278
	L[313760105000235]*	13
	L[SHC1]	52
	L[SHC1]*	2
M[313760105000027]	582
	L[313760105000122]	554
	L[313760105000122]*	27
M[313760105000028]	317
	L[313760105000122]	301
	L[313760105000122]*	15
M[313760105000029]	191
	L[313760105000168]	181
	L[313760105000168]*	9
M[313760105000030]	231
	L[313760105000002]	173
	L[313760105000002]*	8
	L[SHC1]	34
	L[SHC1]*	1
	L[THC1]	11
	L[THC1]*	0
M[313760105000036]	251
	L[313760105000132]	239
	L[313760105000132]*	11
M[313760105000037]	418
	L[313760105000132]	335
	L[313760105000132]*	16
	L[SHC1]	62
	L[SHC1]*	3
M[313760105000039]	701
	L[313760105000255]	667
	L[313760105000255]*	33
M[313760105000040]	390
	L[313760105000255]	371
	L[313760105000255]*	18
M[313760105000043]	448
	L[313760105000186]	426
	L[313760105000186]*	21
M[313760105000045]	401
	L[313760105000255]	381
	L[313760105000255]*	19
M[313760105000048]	36
	L[313760105000271]	27
	L[313760105000271]*	1
	L[SHC1]	5
	L[SHC1]*	0
	L[THC1]	1
	L[THC1]*	0
M[313760105000050]	3
	L[313760105000285]	2
	L[313760105000285]*	0
M[313760105000058]	177
	L[313760105000235]	142
	L[313760105000235]*	7
	L[SHC1]	26
	L[SHC1]*	1
M[313760105000064]	390
	L[313760105000150]	371
	L[313760105000150]*	18
M[313760105000066]	358
	L[313760105000259]	287
	L[313760105000259]*	14
	L[SHC1]	53
	L[SHC1]*	2
M[313760105000067]	193
	L[313760105000168]	183
	L[313760105000168]*	9
M[313760105000068]	195
	L[313760105000259]	156
	L[313760105000259]*	7
	L[SHC1]	29
	L[SHC1]*	1
	L[THC1]*	0
M[313760105000069]	114
	L[313760105000259]	91
	L[313760105000259]*	4
	L[SHC1]	17
	L[SHC1]*	0
M[313760105000071]	294
	L[313760105000239]	280
	L[313760105000239]*	14
M[313760105000072]	311
	L[313760105000239]	287
	L[313760105000239]*	14
	L[SHC1]	8
	L[SHC1]*	0
M[313760105000074]	428
	L[313760105000076]	407
	L[313760105000076]*	20
M[313760105000075]	174
	L[313760105000076]	139
	L[313760105000076]*	6
	L[SHC1]	26
	L[SHC1]*	1
M[313760105000076]	179
	L[313760105000076]	150
	L[SHC1]	26
	L[SHC1]*	1
M[313760105000077]	314
	L[313760105000076]	251
	L[313760105000076]*	12
	L[SHC1]	47
	L[SHC1]*	2
M[313760105000078]	238
	L[313760105000080]	226
	L[313760105000080]*	11
M[313760105000080]	263
	L[313760105000080]	263
M[313760105000081]	184
	L[313760105000080]	175
	L[313760105000080]*	8
M[313760105000082]	176
	L[313760105000080]	167
	L[313760105000080]*	8
M[313760105000083]	373
	L[313760105000080]	355
	L[313760105000080]*	17
M[313760105000084]	151
	L[313760105000076]	143
	L[313760105000076]*	7
M[313760105000085]	182
	L[313760105000076]	173
	L[313760105000076]*	8
M[313760105000086]	390
	L[313760105000076]	371
	L[313760105000076]*	18
M[313760105000087]	179
	L[313760105000271]	134
	L[313760105000271]*	6
	L[SHC1]	26
	L[SHC1]*	1
	L[THC1]	8
	L[THC1]*	0
M[313760105000088]	331
	L[313760105000271]	265
	L[313760105000271]*	13
	L[SHC1]	49
	L[SHC1]*	2
M[313760105000089]	219
	L[313760105000013]	175
	L[313760105000013]*	8
	L[SHC1]	32
	L[SHC1]*	1
M[313760105000090]	533
	L[313760105000271]	401
	L[313760105000271]*	20
	L[SHC1]	79
	L[SHC1]*	3
	L[THC1]	26
	L[THC1]*	1
M[313760105000091]	339
	L[313760105000271]	255
	L[313760105000271]*	12
	L[SHC1]	50
	L[SHC1]*	2
	L[THC1]	16
	L[THC1]*	0
M[313760105000092]	58
	L[313760105000271]	46
	L[313760105000271]*	2
	L[SHC1]	8
	L[SHC1]*	0
M[313760105000094]	505
	L[313760105000013]	405
	L[313760105000013]*	20
	L[SHC1]	75
	L[SHC1]*	3
M[313760105000095]	295
	L[313760105000013]	280
	L[313760105000013]*	14
M[313760105000096]	180
	L[313760105000201]	144
	L[313760105000201]*	7
	L[SHC1]	27
	L[SHC1]*	1
M[313760105000097]	179
	L[313760105000013]	170
	L[313760105000013]*	8
M[313760105000098]	193
	L[313760105000013]	183
	L[313760105000013]*	9
M[313760105000099]	467
	L[313760105000125]	351
	L[313760105000125]*	17
	L[SHC1]	70
	L[SHC1]*	3
	L[THC1]	23
	L[THC1]*	1
M[313760105000101]	37
	L[313760105000201]	27
	L[313760105000201]*	1
	L[SHC1]	5
	L[SHC1]*	0
	L[THC1]	1
	L[THC1]*	0
M[313760105000102]	1106
	L[313760105000102]	911
	L[SHC1]	165
	L[SHC1]*	8
	L[THC1]	19
	L[THC1]*	0
M[313760105000103]	301
	L[313760105000102]	241
	L[313760105000102]*	12
	L[SHC1]	45
	L[SHC1]*	2
M[313760105000105]	585
	L[313760105000102]	440
	L[313760105000102]*	22
	L[SHC1]	87
	L[SHC1]*	4
	L[THC1]	29
	L[THC1]*	1
M[313760105000106]	773
	L[313760105000285]	736
	L[313760105000285]*	36
M[313760105000108]	166
	L[313760105000125]	133
	L[313760105000125]*	6
	L[SHC1]	24
	L[SHC1]*	1
	L[THC1]	0
	L[THC1]*	0
M[313760105000109]	397
	L[313760105000125]	318
	L[313760105000125]*	15
	L[SHC1]	59
	L[SHC1]*	2
M[313760105000110]	359
	L[313760105000125]	288
	L[313760105000125]*	14
	L[SHC1]	53
	L[SHC1]*	2
M[313760105000112]	86
	L[313760105000285]	81
	L[313760105000285]*	4
M[313760105000114]	11
	L[313760105000285]	10
	L[313760105000285]*	0
M[313760105000115]	0
M[313760105000118]	301
	L[313760105000235]	226
	L[313760105000235]*	11
	L[SHC1]	45
	L[SHC1]*	2
	L[THC1]	15
	L[THC1]*	0
M[313760105000120]	330
	L[313760105000235]	248
	L[313760105000235]*	12
	L[SHC1]	49
	L[SHC1]*	2
	L[THC1]	16
	L[THC1]*	0
M[313760105000122]	378
	L[313760105000122]	378
M[313760105000123]	99
	L[313760105000125]	79
	L[313760105000125]*	3
	L[SHC1]	14
	L[SHC1]*	0
M[313760105000124]	206
	L[313760105000125]	165
	L[313760105000125]*	8
	L[SHC1]	30
	L[SHC1]*	1
M[313760105000125]	124
	L[313760105000125]	104
	L[SHC1]	18
	L[SHC1]*	0
M[313760105000126]	178
	L[313760105000168]	169
	L[313760105000168]*	8
M[313760105000127]	425
	L[313760105000168]	319
	L[313760105000168]*	15
	L[SHC1]	63
	L[SHC1]*	3
	L[THC1]	21
	L[THC1]*	1
M[313760105000128]	773
	L[313760105000253]	620
	L[313760105000253]*	31
	L[SHC1]	115
	L[SHC1]*	5
M[313760105000129]	378
	L[313760105000178]	303
	L[313760105000178]*	15
	L[SHC1]	56
	L[SHC1]*	2
M[313760105000132]	336
	L[313760105000132]	336
M[313760105000133]	493
	L[313760105000132]	382
	L[313760105000132]*	19
	L[SHC1]	73
	L[SHC1]*	3
	L[THC1]	13
	L[THC1]*	0
M[313760105000134]	253
	L[313760105000253]	240
	L[313760105000253]*	12
M[313760105000135]	340
	L[313760105000135]	340
M[313760105000136]	302
	L[313760105000135]	287
	L[313760105000135]*	14
M[313760105000138]	554
	L[313760105000139]	527
	L[313760105000139]*	26
M[313760105000139]	324
	L[313760105000139]	324
M[313760105000140]	527
	L[313760105000186]	501
	L[313760105000186]*	25
M[313760105000141]	200
	L[313760105000255]	190
	L[313760105000255]*	9
M[313760105000142]	226
