SHC[SHC1]		213854	Dist (km)
>	L[CLU_3048]	464	20.00
>	L[CLU_3049]	2867	20.00
>	L[CLU_3050]	752	20.00
>	L[CLU_3051]	589	20.00
>	L[CLU_3053]	132	20.00
>	L[CLU_3054]	214	20.00
>	L[CLU_3055]	2368	20.00
>	L[CLU_3056]	139	20.00
>	L[CLU_3057]	2039	20.00
>	L[CLU_3058]	2896	20.00
>	L[CLU_3059]	125	20.00
>	L[CLU_3061]	628	20.00
>	L[CLU_3063]	559	20.00
>	L[CLU_3066]	610	20.00
>	L[CLU_3068]	44	20.00
>	L[CLU_3071]	644	20.00
>	L[CLU_3073]	179	20.00
>	L[CLU_3075]	540	20.00
>	L[CLU_3076]	408	20.00
>	L[CLU_3077]	526	20.00
>	L[CLU_3078]	607	20.00
>	L[CLU_3080]	368	20.00
>	L[CLU_3082]	1111	20.00
>	L[CLU_3084]	304	20.00
>	L[CLU_3086]	585	20.00
>	L[CLU_3087]	392	20.00
>	L[CLU_3089]	452	20.00
>	L[CLU_3090]	559	20.00
>	L[CLU_3091]	119	20.00
>	L[CLU_3092]	165	20.00
>	L[CLU_3093]	522	20.00
>	L[CLU_3094]	271	20.00
>	L[CLU_3100]	329	20.00
>	L[CLU_3101]	537	20.00
>	L[CLU_3102]	109	20.00
>	L[CLU_3105]	295	20.00
>	L[CLU_3106]	93	20.00
>	L[CLU_3107]	462	20.00
>	L[CLU_3109]	476	20.00
>	L[CLU_3110]	225	20.00
>	L[CLU_3111]	259	20.00
>	L[CLU_3113]	47	20.00
>	L[CLU_3114]	267	20.00
>	L[CLU_3116]	47	20.00
>	L[CLU_3117]	1504	20.00
>	L[CLU_3118]	739	20.00
>	L[CLU_3119]	696	20.00
>	L[CLU_3120]	272	20.00
>	L[CLU_3122]	442	20.00
>	L[CLU_3123]	234	20.00
>	L[CLU_3124]	484	20.00
>	L[CLU_3125]	1181	20.00
>	L[CLU_3126]	151	20.00
>	L[CLU_3130]	312	20.00
>	L[CLU_3132]	826	20.00
>	L[CLU_3135]	831	20.00
>	L[CLU_3136]	1603	20.00
>	L[CLU_3137]	714	20.00
>	L[CLU_3139]	883	20.00
>	L[CLU_3140]	447	20.00
>	L[CLU_3144]	605	20.00
>	L[CLU_3145]	527	20.00
>	L[CLU_3147]	581	20.00
>	L[CLU_3148]	1583	20.00
>	L[CLU_3149]	2055	20.00
>	L[CLU_3150]	307	20.00
>	L[CLU_3151]	532	20.00
>	L[CLU_3152]	150	20.00
>	L[CLU_3153]	608	20.00
>	L[CLU_3154]	590	20.00
>	L[CLU_3156]	527	20.00
>	L[CLU_3157]	1117	20.00
>	L[CLU_3159]	609	20.00
>	L[CLU_3160]	2126	20.00
>	L[CLU_3161]	84	20.00
>	L[CLU_3163]	419	20.00
>	L[CLU_3164]	2644	20.00
>	L[CLU_3165]	1657	20.00
>	L[CLU_3166]	413	20.00
>	L[CLU_3167]	178	20.00
>	L[CLU_3168]	435	20.00
>	L[CLU_3169]	1466	20.00
>	L[CLU_3170]	1761	20.00
>	L[CLU_3171]	873	20.00
>	L[CLU_3172]	592	20.00
>	L[CLU_3173]	141	20.00
>	L[CLU_3177]	284	20.00
>	L[CLU_3178]	332	20.00
>	L[CLU_3179]	1469	20.00
>	L[CLU_3180]	582	20.00
>	L[CLU_3182]	432	20.00
>	L[CLU_3183]	2530	20.00
>	L[CLU_3184]	1150	20.00
>	L[CLU_3187]	158	20.00
>	L[CLU_3188]	1451	20.00
>	L[CLU_3190]	531	20.00
>	L[CLU_3192]	266	20.00
>	L[CLU_3193]	1870	20.00
>	L[CLU_3194]	132	20.00
>	L[CLU_3197]	146	20.00
>	L[CLU_3200]	2860	20.00
>	L[CLU_3201]	372	20.00
>	L[CLU_3203]	431	20.00
>	L[CLU_3205]	1869	20.00
>	L[CLU_3207]	1080	20.00
>	L[CLU_3208]	1570	20.00
>	L[CLU_3209]	313	20.00
>	L[CLU_3211]	583	20.00
>	L[CLU_3213]	644	20.00
>	L[CLU_3214]	2219	20.00
>	L[CLU_3215]	334	20.00
>	L[CLU_3216]	319	20.00
>	L[CLU_3217]	605	20.00
>	L[CLU_3711]	94	20.00
>	L[CLU_3731]	139	20.00
>	L[CLU_3732]	94	20.00
>	L[CLU_4344]	498	20.00
>	L[CLU_7797]	168	20.00
>	L[CLU_7876]	1108	20.00
>	L[CLU_7904]	488	20.00
>	L[CLU_7923]	520	20.00
>	L[CLU_948]	336	20.00
>	L[CLU_952]	637	20.00
>	L[3118602190494]	1500	20.00
>	L[3118602190605]	1499	20.00
>	L[3118602190109]	1500	20.00
>	L[3118607116306]	883	20.00
>	L[3118602190931]	1500	20.00
>	L[3118602190222]	477	20.00
>	L[3118602190389]	1500	20.00
>	L[3118602190397]	1500	20.00
>	L[3118602190206]	1500	20.00
>	L[3118602190524]	1500	20.00
>	L[3118602190966]	1500	20.00
>	L[3118602190826]	2250	20.00
>	L[3118602190729]	1500	20.00
>	L[3118602190656]	1500	20.00
>	L[3118602190834]	1500	20.00
>	L[3118602190710]	1457	20.00
>	L[3118602190796]	1353	20.00
>	L[3118602190648]	1382	20.00
>	L[3118602190818]	2250	20.00
>	L[3118602190885]	2250	20.00
>	L[CLU_2970]	3750	20.00
>	L[CLU_3084]	2250	20.00
>	L[CLU_3087]	789	20.00
>	L[CLU_3108]	790	20.00
>	L[CLU_3114]	3360	20.00
>	L[CLU_7923]	1526	20.00
>	L[THC1]	21385	20.00
